"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"twitter","Twitter Likes - Update Special | INSTANT","4.732","3.38","10","5000","wizsmm","586fcbe7-b4fe-4a73-9aa3-67cf8a28d576"
"twitter","France Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","58bb41e6-620d-4cdd-8069-09f2b6e47ca4"
"twitter","Thailand Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","5973881a-a5ed-4fe6-8e33-63d06bcd7101"
"twitter","Twitter Real NFT Likes [500/D] [0-1/H]","13.104","9.36","20","500","wizsmm","599dba25-7d5a-4ee6-8d50-438d069905b9"
"twitter","Twitter Arabic Views","0.028","0.02","100","100000000","wizsmm","5ad3ce48-5594-4f51-b111-f3f5f388ec69"
"twitter","Twitter Likes [High Speed] [No Refill] [10-20K/D] [Instant]","5.922","4.23","10","100000","wizsmm","5b32a4a9-f832-4bd6-aec7-3e20da1ef2cf"
"twitter","Twitter Link Click [Instant]","0.014","0.01","100","100000000","wizsmm","5e82396f-af44-4655-a6a8-a888c8616aaa"
"twitter","🇮🇹Italy Traffic from Twitter [No Refill] [Max: 1M] [Start Time: 12 Hours] [Speed: 10K/Day]","0.665","0.475","500","1000000","wizsmm","5e839f4e-9398-4417-b51d-fa687f9a0659"
"twitter","Italy Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","61646ca5-0e26-4ae8-a91a-5424eafcdbee"
"twitter","Twitter Tweet/Video Views + Impressions + Engagements + Details + Profile Visits | Instant | Day 100M","0.014","0.01","100","100000000","wizsmm","62bc17bf-c4ce-48cf-b554-a5695a35e9c0"
"twitter","Colombia Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","62cd481e-b62f-4af6-8d34-8ea0aabed7af"
"twitter","Taiwan Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","662c1430-144d-451e-b61c-2b9cfe11d80c"
"twitter","Canada Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","67a9bb80-c622-4279-a25a-4d8b85b80a4d"
"twitter","Twitter Retweets + Impressions [From Super Models] [Organic] [5K/D] [0-1/H]","201.6","144","100","5000","wizsmm","68cf1568-7911-450f-b3e4-6338f4c29c6c"
"twitter","Romania Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","68f75179-3271-4e5f-9ee0-52d53796a069"
"twitter","USA Social Shares from Twitter","1.106","0.79","100","100000","wizsmm","6bd901cd-7c8f-46b4-9f11-48df5c85403a"
"twitter","South Korea Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","6cfbc791-92b3-43ed-b472-40d3ed2d5bbf"
"twitter","Hong Kong Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","72c35269-197a-4eb9-85ed-96cb6a80566e"
"twitter","Thailand Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","72c6c40b-fc03-44b9-898e-d3aa0e54965a"
"twitter","Japan Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","74642b0d-aed3-4d66-9596-fbe28218bc6a"
"twitter","Argentina Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","7db3099a-dafd-4398-930d-35a7abacb6b2"
"twitter","UK Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","846ce0c1-9c6a-4fd4-a5c1-63e1290d67c3"
"twitter","Twitter NFT Likes [200/D] [0-2/H]","17.388","12.42","50","200","wizsmm","8508c30c-0461-444c-8448-e868ba6e36e9"
"twitter","Twitter Likes [ Japanese 🇯🇵 ] | HQ  | No Drop  | 30 Days Auto Refill ♻️","18.48","13.2","10","10000","wizsmm","868ead5c-eb7d-435d-b521-ad00c117c2b1"
"twitter","Twitter - Retweets - Max 30k - Refill 30 D - Speed 1k-5k/day","9.8","7","50","50000","wizsmm","88d21504-b7bd-432d-9ee7-d213a7d7369e"
"twitter","Netherlands Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","8aeeb191-b894-4b64-bf17-63e855b7273c"
"twitter","UK Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","999f5f06-5182-472d-8a4c-63be01b3156c"
"twitter","Pakistan Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","9c0156c5-dd38-4fd2-b8fe-011a7ae01866"
"twitter","Twitter - Likes - Real - Max 15k Refill 30D - 15k/Day","4.2","3","10","15000","wizsmm","9cd57deb-f10b-45e6-88f2-e89d3ea9d961"
"twitter","Twitter Tweet Views [Instant]","0.014","0.01","100","100000000","wizsmm","a132854e-66c1-49cb-9a11-68604db15e9e"
"twitter","Twitter Profile Click [Instant]","0.014","0.01","100","100000000","wizsmm","a1e39e04-f418-4032-87eb-8103094091bf"
"twitter","X - Twitter Nigeria Followers [5K]🇳🇬","41.776","29.84","100","5000","wizsmm","a2e08eee-dfb3-4c99-bbf4-ec7473d2676c"
"twitter","Twitter Likes [Real] [Low Drop] [500-1K/D] [0-1/H]","6.272","4.48","10","20000","wizsmm","a60ffaf0-db47-4f7a-8c34-76b8667037ff"
"twitter","South Korea Social Shares from Twitter","1.414","1.01","100","100000","wizsmm","a651775b-0606-497c-8d7f-ee0f9900940c"
"twitter","Ireland Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","a672ccfe-05cd-4814-afc1-a5f3ff97c458"
"twitter","Twitter Comments [CUSTOM] [Crypto] [Refill: No] [Max: 2K] [Start Time: 0-12 Hours] [Speed: 1K/Day]","49","35","3","1000","wizsmm","aa52a2db-10f5-4d04-be22-909ea0447737"
"twitter","X - Twitter Nigeria Likes [5K]🇳🇬","27.846","19.89","50","5000","wizsmm","ac4c04cb-1356-452d-a441-b0cc74cbbbfe"
"twitter","Twitter Followers (Real always working)","73.92","52.8","20","2000","wizsmm","ac51d75f-81ea-42c9-987e-28d9e2b3cfa2"
"twitter","Netherlands Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","addd3636-205d-461b-b220-590cfc707ddd"
"twitter","Iran Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","afd9e67c-53b3-4994-a93b-3abebe2ef72e"
"twitter","USA Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","bd1f8aee-2dd8-4229-9b13-aa3031fd9d00"
"twitter","WorldWide Traffic from Twitter","0.294","0.21","500","1000000","wizsmm","c0a43e3b-7ac5-478c-8837-d4e5658ac355"
"twitter","Twitter Followers 30D refill","26.25","18.75","50","20000","wizsmm","c24c56fb-294b-45d2-a7a7-9f170bbd59f3"
"twitter","Twitter Likes [High Speed] [30 Days Refill] [100K/D] [Instant]","10.08","7.2","100","1000000","wizsmm","cc5c0da3-2b4b-4618-aab8-718581cc5734"
"twitter","Twitter Retweet [High Speed] [10K/D] [Instant] [Different Service]","2.52","1.8","100","10000","wizsmm","cd8a6f3a-b3e7-460a-920e-5c5e11040670"
"twitter","Turkey Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","f25443cb-b96a-4ad6-b998-41c7149e93dd"
"twitter","Twitter  Mentions [USER FOLLOWERS] [Max: 5K] [Refill: No] [Start Time: 0 - 24 Hours] [Speed: 2K/Day]","5.25","3.75","100","50000000","wizsmm","014222bf-99e7-4cc2-a9f5-453920f8cd49"
"twitter","Twitter Five Person Mentions [Custom List] [Start Time: 0 - 1 Hour] [Speed: 1K/Day]","26.25","18.75","20","50000","wizsmm","014d4d31-1c39-482e-93be-67aa46a691e8"
"twitter","Twitter Video Views [Refill: No Drop] [Max: 100M] [Start Time: 15 Minutes] [Speed: 10M/Day]","0.035","0.025","100","100000000","wizsmm","01b3d626-bece-4279-a9dc-21e6e4de92c6"
"twitter","Twitter Space Listeners [180 Minutes] [Max: 20K] [Start Time: 0 - 1 Hour] [Speed: 2K/Hour]","2.3114","1.651","50","10001","wizsmm","01d5f6d5-a36b-43b7-bd11-3d18ada44c68"
"twitter","Twitter Followers [SOUTH AFRICA] [LOW DROP] [Refill: No] [Max: 2K] [Start Time: 10-30 Mins] [Speed: 24 Hours Delivery]","67.2","48","100","5000","wizsmm","033705db-142b-45ef-a906-ba930b87149d"
"twitter","Twitter Five Person Mentions [Username] [Start Time: 0 - 1 Hour] [Speed: 1K/Day]","17.5","12.5","20","50000","wizsmm","04e6e2f7-45fa-403f-b25b-d4207da42a1e"
"twitter","Twitter Video Views [Refill: 45 Days] [Max: 10M] [Start Time: 0-1 Hour] [Speed: 200K/Hour] ♻️","0.0875","0.0625","100","50000000","wizsmm","07f7b2bb-a48e-4d67-ba68-1f48af8ea8c7"
"twitter","🇺🇸 Twitter Share [HQ] [Refill: 100 Days] [Max: 1K] [Start Time: 0-4 Hours] [Speed: 1K/Day] ♻️","83.125","59.375","5","1000","wizsmm","0999440e-8211-42af-aaa3-360a34a28525"
"twitter","Twitter Views [NIGERIA &amp; GHANA] [Non Drop] [Max: 1K] [Start Time: 10-30 Mins] [Speed: 1K/Day]","7.056","5.04","500","500000","wizsmm","0aa58ef9-205a-4e67-bf84-c11a37ec091b"
"twitter","Twitter Likes [Max: 2.5K] [Refill: No] [Start Time: 0 - 12 Hours] [Speed 2.5K/Day]","2.6256","1.8754","10","10000","wizsmm","0ad2232e-f30e-40fe-8fc9-d0132e755b9c"
"twitter","Twitter Retweets [Max: 350K] [Refill:NO] [Start Time: 0 - 1 Hour] [Speed: 50K/Day] 💧♻️","2.4413","1.7438","100","100000","wizsmm","0c60f79d-4911-4405-b49e-525796bdc6ef"
"twitter","Twitter Likes [Refill: No] [Max: 1M] [Start Time: 0-1 Hrs] [Speed: Up to 100K/D] 💧","1.2513","0.8938","10","20000","wizsmm","0cb85285-ae5e-4622-a228-cec765e0a501"
"twitter","Twitter Followers [Refill: No] [Max: 5M] [Start Time: 0-3 Hrs] [Speed: 1M/D] 💧","1.4196","1.014","100","50000","wizsmm","0cfbcff8-f822-486e-834d-678aa2b863f4"
"twitter","Twitter Followers [Refill: No] [Max: 1M] [Start Time: 0 - 1 Hr] [Speed: 200K/Day] 💧","7","5","100","1000000","wizsmm","0d03d108-2b92-4b5f-baab-f0461e964ae9"
"twitter","🇳🇬🇬🇭Twitter Likes [NIGERIA &amp; GHANA] [Refill: No] [Max: 2K] [Start Time: 5-10 Mins] [Speed: 2K/Day]","35","25","50","5000","wizsmm","0dcb99fe-bc64-4b17-82d3-75f413d79af5"
"twitter","Twitter Comments [CUSTOM] [Refill: No] [Max: 50K] [Start Time: 0-1 Hr] [Speed: 1K/D]","46.4481","33.1772","5","10000","wizsmm","0ecdffd6-2a04-4db7-9f10-f302195fd1d1"
"twitter","🇬🇭🇳🇬Twitter Retweets [NIGERIA &amp; GHANA] [Refill: No] [Max: 3K] [Start Time: 5-10 Mins] [Speed: 1K/Day]","43.75","31.25","50","5000","wizsmm","1075b6e1-0a0d-400b-89cb-670b8110e74d"
"twitter","Twitter Comments [RANDOM] [Crypto] [Refill: No] [Max: 2K] [Start Time: 0-12 Hours] [Speed: 1K/Day]","43.75","31.25","3","1000","wizsmm","1153d63c-bedf-4223-a129-bfb666400e3e"
"twitter","Twitter Followers [CRYPTO - HQ] [4K Package] [Refill: No] [Start Time: 0 - 24 Hours] [Speed: 0 - 72 Hours to Complete]","350","250","1","1","wizsmm","14761024-d9fe-4e59-a517-92c577564f1a"
"twitter","Twitter Asia Followers [JAPAN / KOREA / HK] [Refill: No] [Max: 50K] [Start Time: 0 - 3 Hours] [Speed: 5K/Day] ⛔💧","35","25","100","50000","wizsmm","15187079-3c8c-4ac8-9412-0ff39df1ac6b"
"twitter","🇯🇵Japan Traffic from Twitter [Refill: No] [Max: 1M] [Start Time: 12 Hours] [Speed: 10K/Day]","0.6125","0.4375","500","1000000","wizsmm","15a33bb0-d633-45d0-a5c2-d267226caadd"
"twitter","Twitter Retweets [USA 🇺🇸] [Refill: 30D] [Max: 5K] [Start Time: 0-1 Hrs] [Speed: Up to 5K/D] 💧","7.0875","5.0625","100","5000","wizsmm","15cb0eea-5f1c-41d9-9260-cd2ebac35627"
"twitter","Twitter Likes [Refill: 30D] [Max: 15K] [Start Time: 0 - 1 Hr] [Speed: 15K/Day] 💧♻️","4.375","3.125","10","10000","wizsmm","15cfbed5-0c8a-4482-9a7d-6f594ccafa6c"
"twitter","Twitter Link Click [Refill: 30 Days] [Max: 10M] [Start Time: 0-1 Hour] [Speed: 10M/Day] 💧 ♻️","0.2793","0.1995","100","100000000","wizsmm","15e29ebe-892c-4d12-8740-78078546f944"
"twitter","Twitter Followers  [100K] [Refill:30D] [Start Time: 0 - 1 Hr] [Speed: 5K/D]","25.2","18","20","5000","wizsmm","166863b1-8ee5-4d36-a9a4-a48dc3088688"
"twitter","Twitter Mentions [CUSTOM LIST] [Max: 20K] [Refill: No] [Start Time: 24 - 72 Hours] [Speed: 5K/Day]","5.075","3.625","50","10000000","wizsmm","16ad390e-47f8-440f-bd14-245f8d92dabe"
"twitter","Twitter Likes [HQ] [Refill: No] [Max: 50K] [Start Time: 0-1 Hrs] [Speed: Up to 20K/D] 💧","1.638","1.17","100","50000","wizsmm","1921530d-5e03-4fc7-bbdc-0e5ce1cdb2da"
"twitter","🇬🇧Twitter Comments [RANDOM] [UK] [Refill: No] [Max: 100] [Start Time: 0-12 Hours] [Speed: 100/Day]","52.5","37.5","10","250","wizsmm","19554b0b-5019-44fb-a458-fbaf15e76e9e"
"twitter","Twitter Followers [NFT Female] [Max: 100K] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 3K/Day] ⛔","14.875","10.625","100","100000","wizsmm","1aecf0e1-797b-4d54-a792-0ace3f79e528"
"twitter","Twitter Space Listeners [120 Minutes] [Max: 20K] [Start Time: 0 - 1 Hour] [Speed: 2K/Hour]","1.5469","1.1049","50","10001","wizsmm","1bf4e7b0-3674-445f-86fb-cb0b38f06611"
"twitter","Twitter Followers [Refill: 30D] [Max: 350K] [Start Time: 0-3 Hours] [Speed: 40K/Day] 💧♻️","8.4875","6.0625","10","20000","wizsmm","1c454ceb-922d-4db7-94b4-e39e430ccd8d"
"twitter","🇬🇧 Twitter USA Followers [Refill: No] [Max: 1M] [Start Time: 0 - 1 Hr] [Speed: 200K/Day] 💧♻️","1.015","0.725","100","1000000","wizsmm","1ccc65cd-bde3-4504-824e-f73ef973f94f"
"twitter","Twitter Followers [Max: 20K] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 20K/Day] 🛑","2.1875","1.5625","50","100000","wizsmm","1ce0dc7c-cbd0-4962-a1b4-95ed7c2cd4e5"
"twitter","Twitter Likes [Refill: 30D] [Max: 40K] [Start Time: 0-1 Hrs] [Speed: Up to 40K/D] 💧♻️","2.9453","2.1038","10","40000","wizsmm","1d7507b2-65c0-4723-afa4-fb29f2dbdd94"
"twitter","Twitter Likes [Refill: No] [Max: 350K] [Start Time: 0 - 1 Hour] [Speed: 50K/Day] 💧","1.4438","1.0313","10","15000","wizsmm","1e1bea30-4cff-405a-af2d-6504350f083e"
"twitter","Twitter Followers [10M] [Refill: No] [LESS DROP] [Start Time: 0 - 1 Hour] [Speed: 10K/Day]","2.8854","2.061","10","20000","wizsmm","1e7d48ba-d668-4094-b664-101ebd3152a6"
"twitter","Twitter Likes [HQ] [Refill: 7D] [Max: 50K] [Start Time: 0-1 Hrs] [Speed: Up to 20K/D] 💧⛔️♻️","2.002","1.43","100","50000","wizsmm","1efb762d-453f-4a98-bc8d-db5ac27dc1e7"
"twitter","Twitter Followers [JP 🇯🇵] [Refill: 7D] [Max: 100K] [Start Time: 0-1 Hrs] [Speed: Up to 100K/D] 💧♻️","12.6","9","100","100000","wizsmm","215afc04-bde6-427f-8832-0cce07f64139"
"twitter","Twitter Followers [Max: 50K] [Refill: 15D] [Start Time: 0 - 1 Hour] [Speed: 50K/Day]","10.108","7.22","100","200000","wizsmm","22d8ef2c-a56c-43ad-b5d9-c9f8e85f80dd"
"twitter","Twitter Followers [Refill: No] [Max: 350K] [Start Time: 0-3 Hours] [Speed: 40K/Day] 💧","1.4196","1.014","100","50000","wizsmm","2301b34f-5a82-4c28-b1eb-4c6b454eaae9"
"twitter","Twitter Space Listeners [30 Minutes] [Max: 2.5K] [Start Time: 0 - 1 Hour] [Speed: 2.5K/Hour]","3.15","2.25","100","2500","wizsmm","24e9292e-8a64-428b-ad20-51fb0c0d05e9"
"twitter","Twitter Space Listeners [240 Minutes] [Max: 20K] [Start Time: 0 - 1 Hour] [Speed: 2K/Hour]","15.75","11.25","50","100000","wizsmm","2590bd47-f0e4-4c91-93e7-c94dc4b7110d"
"twitter","Twitter Live Views [45 Minutes] [Max: 2.5K] [Start Time: 0 - 1 Hour] [Speed: 2.5K/Hour]","15.12","10.8","100","2500","wizsmm","25f5a3eb-b011-42e3-90ce-5d07f62d93e6"
"twitter","Twitter Likes [Refill:30 DAYS] [Max: 1K] [Start Time: 0 - 1 Hours] [Speed: 1K/Day]","11.375","8.125","10","100000","wizsmm","26a9c577-4cf1-4d98-8b5d-553498a17bac"
"twitter","Twitter Likes [Refill: 30D] [Max: 10K] [Start Time: 0 - 1 Hr] [Speed: 5K/Day] 💧","4.9","3.5","100","10000","wizsmm","273e1d9f-37d4-4742-b117-89e536fe94ad"
"twitter","🇺🇸Twitter Comments [USA - Custom] [Max: 150] [Refill: 100 Days] [Start Time: 0 - 4 Hours] [Speed: 150/Day]","51.87","37.05","5","5000","wizsmm","2a3864e9-4c1d-4d41-b1b0-6d2bbca849a8"
"twitter","Twitter Likes [Refill: 30 Days] [Max: 10K] [Start Time: 8 Hours] [Speed: 200-500/Day] ♻️","12.6","9","10","10000","wizsmm","2ad5cc1f-8eaf-4af2-b211-3348083d65e9"
"twitter","Twitter Likes [Refill: No] [Max: 2K] [HQ] [Start Time: 1 Hour] [Speed: 2K/Day]","5.25","3.75","10","5000","wizsmm","2ddc3204-fc30-4525-a824-e9f9fc249e2a"
"twitter","Twitter Followers [CRYPTO - HQ] [3K Package] [Refill: No] [Start Time: 0 - 24 Hours] [Speed: 0 - 72 Hours to Complete]","262.5","187.5","1","1","wizsmm","2e60d7b0-9d50-4293-89c2-ee0618261a29"
"twitter","Twitter Poll Votes [Refill: 30 Days] [Max: 500K] [Start Time: 0-1 Hour] [Speed: 500K/Day] 💧 ♻️","3.325","2.375","10","500000","wizsmm","2ff9cf77-e993-43e0-93f2-992c20afabf3"
"twitter","🇮🇳Twitter Comments [CUSTOM] [INDIAN] [Refill: No] [Max: 100] [Start Time: 0-12 Hours] [Speed: 100/Day]","70","50","10","250","wizsmm","30839708-04af-412e-afa4-0f0cd7ac5616"
"twitter","Twitter Likes [Refill: 30D] [Max: 1M] [Start Time: 0-1 Hrs] [Speed: Up to 100K/D] 💧♻️","2.45","1.75","10","20000","wizsmm","319fddda-499e-4f96-8e91-fb936f15e094"
"twitter","Twitter Likes [HQ] [Refill: 15D] [Max: 50K] [Start Time: 0-1 Hrs] [Speed: Up to 20K/D] 💧⛔️♻️","2.366","1.69","100","50000","wizsmm","31b86692-1144-4117-8e72-2ffc11eaf879"
"twitter","🇺🇸Twitter Comments [USA] [CUSTOM] [Refill: No] [Max: 250] [Start Time: 0-1 Hour] [Speed: 250/Day]⚡️","70","50","10","250","wizsmm","31c3fa9c-419e-410e-9f89-e4687a651b97"
"twitter","🇧🇷Twitter [BRAZIL] [100 Retweet 200 Likes 25 Comments] [HQ Profiles] [Refill: 15 Days] [Start Time: 0-6 Hours] [Speed: 24 Hours Delivery] ♻️","5.25","3.75","1","1","wizsmm","31d8dc86-cbbf-494a-991a-96e6fc17fb0a"
"twitter","Twitter Followers [Refill: 30 Days] [Max: 60K] [Start Time: 1 Hour] [Speed: 20/Day] ♻️","12.25","8.75","50","60000","wizsmm","322a39cf-78e8-4bbb-bb31-d31449afe510"
"twitter","🇪🇬 Twitter Female Random Comments [Refill: 30 Days] [Max: 1K] [Start Time: 0-24 Hours] [Speed: 1K/Day]","87.5","62.5","10","1000","wizsmm","325cd6ef-60d8-4447-b932-2a70ef4f16a3"
"twitter","Twitter Poll Votes [Refill: No] [Max: 100K] [Start Time: 0 - 1 Hours] [Speed: 20K/Day]","0.2275","0.1625","100","100000","wizsmm","337e6ceb-818c-455a-ae19-f83327f96c02"
"twitter","Twitter Profile Click [Refill: 30 Days] [Max: 10M] [Start Time: 0-1 Hour] [Speed: 10M/Day] 💧 ♻️","0.2793","0.1995","100","100000000","wizsmm","366dcc5f-25a9-413e-96eb-a1bb3e650647"
"twitter","Twitter Video Views [Refill: No Drop] [Max: 10M] [Start Time: 0 - 1 Hr] [Speed: 10M/Day]","0.007","0.005","100","100000000","wizsmm","369196ea-3816-4033-8859-3c2c96a68372"
"twitter","Twitter Likes [Refill: No] [Max: 10K] [Start Time: 0 - 2 Hrs] [Speed: 10K/Day] ⛔💧","0.1575","0.1125","50","10000","wizsmm","375d5842-4376-495c-a59b-7927aa83b43d"
"twitter","Twitter Space Listeners [45 Minutes] [Max: 2.5K] [Start Time: 0 - 1 Hour] [Speed: 2.5K/Hour]","4.725","3.375","100","2500","wizsmm","383e9d2c-73d1-448d-8c13-69b5a56212e5"
"twitter","Twitter Retweets [Max: 350K] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 50K/Day] 💧","2.2939","1.6385","100","1000","wizsmm","39446f21-26c3-4f7a-99ff-f846c8f55f33"
"twitter","🇰🇷South Korea Traffic from Twitter [Refill: No] [Max: 1M] [Start Time: 12 Hours] [Speed: 10K/Day]","0.245","0.175","88","88888888","wizsmm","3b3149f0-823f-428f-b872-6e6e5df2bc79"
"twitter","Twitter Space Listeners [120 Minutes] [Max: 2.5K] [Start Time: 0 - 1 Hour] [Speed: 2.5K/Hour]","12.6","9","100","2500","wizsmm","3b5a5742-53c6-4093-8658-77f5a61d4f2a"
"twitter","Twitter Likes [NFT Accounts] [Max: 20K] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 20K/Day]","19.25","13.75","10","2500","wizsmm","3cacd7d4-71bb-4396-9233-b1b545282c4e"
"twitter","🇹🇷Turkey Traffic from Twitter [No Refill] [Max: 1M] [Start Time: 12 Hours] [Speed: 10K/Day]","0.6125","0.4375","500","1000000","wizsmm","3d826daa-f4c4-4641-a915-cf4d9dc16a67"
"twitter","Twitter Comments [CUSTOM] [Crypto] [Refill: No] [Max: 2K] [Start Time: 0-12 Hours] [Speed: 1K/Day]","43.75","31.25","3","1000","wizsmm","3dc03c66-55aa-43bc-85a3-a3f70b606ba6"
"twitter","Twitter Retweets [BR 🇧🇷] [Refill: No] [Max: 5K] [Start Time: 0-1 Hrs] [Speed: Up to 5K/D] 💧","2.2838","1.6313","100","5000","wizsmm","3de05402-f93c-4046-8d83-e1f8f6e8aa87"
"twitter","Twitter Space Listeners [90 Minutes] [Max: 2.5K] [Start Time: 0 - 1 Hour] [Speed: 2.5K/Hour]","9.45","6.75","100","2500","wizsmm","3f97ac35-99a9-4e5d-a134-64dbfc878436"
"twitter","🇪🇸Spain Traffic from Twitter [No Refill] [Max: 1M] [Start Time: 12 Hours] [Speed: 10K/Day]","0.6125","0.4375","500","1000000","wizsmm","3ffea3f6-01f5-4cb4-a984-934c402c4876"
"twitter","Twitter Retweets [Refill: 30D] [Max: 15K] [Start Time: 0 - 1 Hr] [Speed: 15K/Day] 💧♻️","0.7","0.5","10","1000000","wizsmm","44e6e6d9-92ec-464c-a9de-bbf5ad996ecd"
"twitter","Twitter Comments [NFT Accounts] [CUSTOM] [Max: 200] [Refill: 100 Days] [Start Time: 1 Hour] [Speed: 200/Day]","111.72","79.8","10","200","wizsmm","45cbe747-c669-4264-a1c1-c034a2059e62"
